Positio,,,UPC,,,,Facings,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,,Date,,,,,Width,,,,
25,,0071833422053,,,,1,,,DESERT ESSENCE,,,,,,TOOTHPASTE-TEA TREE OIL NEEM-WINTERG,,,,6.25,,OZ,,,,,,Feb 21 2016 1,,,,,1.80,,,,,
26,,0071833433443,,,,1,,,DESERT ESSENCE,,,,,,TOOTHPASTE-TEA TREE OIL & ARNICA,,,,6.25,,OZ,,,,,,,,,,,1.80,,,,,
Positio,,,,,UPC,,Facings,,,,,,Brand,,,,Long Description,,,Size,,,,UOM,,,,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,0071833433441,,,,1,,,DESERT ESSENCE,,,,,,TOOTHPASTE-TEA TREE OIL-HIMALYN SALT,,,,6.25,,OZ,,,,,,,,,,,1.80,,,,,
28,,0071833433444,,,,2,,,DESERT ESSENCE,,,,,,TOOTHPASTE-ACTIVATED COCNT CHARCOAL,,,,6.25,,OZ,,,,,,,,,,,1.80,,,,,
29,,0071833433408,,,,1,,,DESERT ESSENCE,,,,,,TOOTHPASTE-COCONUT OIL,,,,6.25,,OZ,,,,,,,,,,,1.80,,,,,
30,,0071833433410,,,,1,,,DESERT ESSENCE,,,,,,TOOTHPASTE-NATURAL NEEM-CINNAMINT,,,,6.25,,OZ,,,,,,Feb 21 2016 1,,,,,1.80,,,,,
31,,0070059600060,,,,1,,,SPRY,,,,,,TOOTHPASTE-SPEARMINT WITH FLUORIDE,,,,5.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.75,,,,,
32,,0070059600140,,,,1,,,SPRY,,,,,,TOOTHPASTE-PEPPERMINT,,,,5.00,,OZ,,,,,,,,,,,1.75,,,,,
33,,0070059600050,,,,1,,,SPRY,,,,,,TOOTHPASTE PEPPERMINT,,,,5.00,,OZ,,,,,,Feb 21 2016 1,,,,,1.75,,,,,
34,,0001878750071,,,,2,,,DR BRONNERS,,,,,,TOOTHPASTE-PEPPERMINT,,,,5.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.15,,,,,
35,,0001878750072,,,,1,,,DR BRONNERS,,,,,,TOOTHPASTE-CINNAMON,,,,5.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.15,,,,,
36,,0001878750076,,,,1,,,DR BRONNERS,,,,,,TOOTHPASTE-ANISE,,,,5.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.15,,,,,
37,,0086865600013,,,,1,,,MY MAGIC MUD,,,,,,TOOTHPASTE-CINNAMON CLOVE,,,,4.00,,OZ,,,,,,,,,,,2.00,,,,,
38,,0086865600011,,,,1,,,MY MAGIC MUD,,,,,,TOOTHPASTE-PEPPERMINT,,,,4.00,,OZ,,,,,,,,,,,2.00,,,,,
39,,0086865600014,,,,1,,,MY MAGIC MUD,,,,,,TOOTHPASTE-WINTERGREEN,,,,4.00,,OZ,,,,,,,,,,,2.00,,,,,
40,,0086806300031,,,,1,,,MY MAGIC MUD,,,,,,TOOTHPASTE-WHITENING-ACTVTD CHARCOAL,,,,4.00,,OZ,,,,,,,,,,,2.00,,,,,
41,,0001878820724,,,,1,,,REDMOND,,,,,,TOOTHPASTE-EARTHPASTE-PEPPERMINT,,,,4.00,,OZ,,,,,,,,,,,2.00,,,,,
42,,0001878810528,,,,1,,,REDMOND,,,,,,TOOTHPASTE-EARTHPASTE-PEPPERMINT,,,,4.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.00,,,,,
43,,0001878810532,,,,1,,,REDMOND,,,,,,TOOTHPASTE-EARTHPASTE-WINTERGREEN,,,,4.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.00,,,,,
44,,0001878810570,,,,1,,,REDMOND,,,,,,TOOTHPASTE-EARTHPASTE-SPEARMINT,,,,4.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.00,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 8' 0.00"",    Height: 0' 4.50"",   Depth: 1' 8.00"",   Product: 8' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0063779250100,,,,1,,,TEA TREE THERAPY,,,,,,TOOTHPICKS-TEA TREE,,,,100.00,,CNT,,,,,,Feb 21 2016 1,,,,,1.55,,,,,
2,,0063779250500,,,,1,,,TEA TREE THERAPY,,,,,,TOOTHPICKS-CINNAMON,,,,100.00,,CNT,,,,,,Feb 21 2016 1,,,,,1.55,,,,,
3,,0002727535000,,,,1,,,AUROMERE,,,,,,NEEM PICKS,,,,100.00,,CNT,,,,,,Feb 21 2016 1,,,,,1.60,,,,,
