"Project Type: Reset 04/02/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322
Location(s):
Notes:",,,,,,,,,"9/13/2018
HBA Department
26445 Sun Care-Aloe-Bug-04' H-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 10.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 3' 11.99""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0072474200385,,,1,,ALBA BOTANICA,,,,SUNSCREEN-KIDS SPRAY-SPF 40,,,,4.00,,,OZ,,,,May  1 2016 1,,,1.90,,,,
2,0072474200405,,,1,,ALBA BOTANICA,,,,HERBAL FRESH SUNSCREEN SPF 35,,,,6.00,,,FOZ,,,,May  1 2016 1,,,2.10,,,,
3,0072474200382,,,2,,ALBA BOTANICA,,,,SUNSCREEN SPRAY--KIDS-SPF 50,,,,6.00,,,FOZ,,,,May  1 2016 1,,,2.10,,,,
4,0072474200404,,,1,,ALBA BOTANICA,,,,EMOLLIENT SUNSCREEN SPF 35,,,,6.00,,,FOZ,,,,May  1 2016 1,,,2.10,,,,
5,0072474200381,,,2,,ALBA BOTANICA,,,,SUNSCREEN-VERY EMOLLIENT-FF-SPF50,,,,6.00,,,FOZ,,,,May  1 2016 1,,,2.10,,,,
6,0072474200378,,,1,,ALBA BOTANICA,,,,SUNSCREEN-SPROT-SPF 50,,,,6.00,,,FOZ,,,,,,,2.10,,,,
7,0072474200843,,,2,,ALBA BOTANICA,,,,SUNSCREEN SPRAY-HAWAIIAN-SPF 50,,,,6.00,,,FOZ,,,,May  1 2016 1,,,2.10,,,,
8,0072474200831,,,2,,ALBA BOTANICA,,,,DRY OIL-HAWAIIAN COCONUT SPF 15,,,,4.50,,,OZ,,,,May  1 2016 1,,,1.60,,,,
9,0072474200384,,,1,,ALBA BOTANICA,,,,SUNSCREEN-FAST FIX SUN STICK-SPF 30,,,,0.50,,,OZ,,,,,,,3.50,,,,
