Positio,,,UPC,,,,Facings,,Brand,,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,Width,,,,,,
2,,0085404900206,,,,2,,ACURE,,,,,FACIAL SCRUB-BRILLIANTLY BRIGHTENING,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,1.90,,,,,,,
3,,0081342402014,,,,1,,ACURE,,,,,TOWELETTE-BRILLIANT BRIGHTNG COCONUT,,,,,30.00,,,CNT,,,,,Jul 17 2016 1,,,,3.90,,,,,,,
4,,0085404900229,,,,1,,ACURE,,,,,FACE MASK-BRILLIANTLY BRIGHTENING,,,,,1.70,,,OZ,,,,,Jun  5 2016 1,,,,1.70,,,,,,,
5,,0085404900208,,,,1,,ACURE,,,,,DAY CREAM-BRILLIANTLY BRIGHTENING,,,,,1.70,,,OZ,,,,,Jun  5 2016 1,,,,1.70,,,,,,,
6,,0085404900209,,,,1,,ACURE,,,,,NIGHT CREAM-BRILLIANTLY BRIGHTENING,,,,,1.70,,,OZ,,,,,Jun  5 2016 1,,,,1.70,,,,,,,
7,,0085404900213,,,,1,,ACURE,,,,,SERUM-BRILLIANTLY BRIGHT GLOWING,,,,,1.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.50,,,,,,,
8,,0085404900299,,,,1,,ACURE,,,,,ARGAN OIL-BRILLIANT BRIGHTEN CITRUS,,,,,1.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.50,,,,,,,
9,,0081342402025,,,,1,,ACURE,,,,,CONTOUR GEL-BRILLIANTLY BRIGHT EYE,,,,,0.50,,,FOZ,,,,,Jul 17 2016 1,,,,1.05,,,,,,,
10,,0085404900245,,,,1,,ACURE,,,,,CLEANSING CRM-SERIOUSLY SOOTHING,,,,,4.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.90,,,,,,,
11,,0081342402183,,,,1,,ACURE,,,,,TOWELETTES-MICELLAR-SERIOUSLY SOOTH,,,,,30.00,,,CNT,,,,,,,,,3.90,,,,,,,
12,,0085404900247,,,,1,,ACURE,,,,,DAY CREAM-SERIOUSLY SOOTHING,,,,,1.70,,,FOZ,,,,,Jun  5 2016 1,,,,1.70,,,,,,,
13,,0081342402117,,,,1,,ACURE,,,,,BLUE TANSY NIGHT OIL-SERIOUSLY SOOTH,,,,,1.00,,,FOZ,,,,,,,,,1.50,,,,,,,
Positio,,,,,UPC,,Facings,,,Brand,,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,Width,,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0081342402001,,,,1,,ACURE,,,,,COCONUT ARGAN OIL SERIOUSLY SOOTHING,,,,,1.00,,,FOZ,,,,,Jul 17 2016 1,,,,1.50,,,,,,,
15,,0085404900220,,,,1,,ACURE,,,,,ARGAN OIL-THE ESSENTIALS,,,,,1.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.50,,,,,,,
